Date,Trend Score,Price
2025-08-25,73,179.79986572265625
2025-08-26,52,181.75975036621094
2025-08-27,72,181.5897674560547
2025-08-28,68,180.1598358154297
2025-08-29,61,174.170166015625
2025-09-02,61,170.77037048339844
2025-09-03,65,170.61038208007812
2025-09-04,66,171.65032958984375
2025-09-05,67,167.01058959960938
2025-09-08,75,168.30050659179688
2025-09-09,70,170.7503662109375
2025-09-10,70,177.32000732421875
2025-09-11,19,177.1699981689453
2025-09-12,18,177.82000732421875
2025-09-15,25,177.75
2025-09-16,65,174.8800048828125
2025-09-17,71,170.2899932861328
2025-09-18,70,176.24000549316406
2025-09-19,71,176.6699981689453
2025-09-22,70,183.61000061035156
2025-09-23,83,178.42999267578125
2025-09-24,70,176.97000122070312
2025-09-25,70,177.69000244140625
2025-09-26,66,178.19000244140625
2025-09-29,66,181.85000610351562
2025-09-30,74,186.5800018310547
2025-10-01,78,187.24000549316406
2025-10-02,82,188.88999938964844
2025-10-03,74,187.6199951171875
2025-10-06,41,185.5399932861328
2025-10-07,100,185.0399932861328
2025-10-08,81,189.11000061035156
2025-10-09,80,192.57000732421875
2025-10-10,68,183.16000366210938
2025-10-13,56,188.32000732421875
2025-10-14,58,180.02999877929688
2025-10-15,62,179.8300018310547
2025-10-16,56,181.80999755859375
2025-10-17,48,183.22000122070312
2025-10-20,52,182.63999938964844
2025-10-21,53,181.16000366210938
2025-10-22,56,180.27999877929688
2025-10-23,52,182.16000366210938
2025-10-24,46,186.25999450683594
2025-10-27,48,191.49000549316406
2025-10-28,49,201.02999877929688
2025-10-29,71,207.0399932861328
2025-10-30,80,202.88999938964844
2025-10-31,72,202.49000549316406
2025-11-03,74,206.8800048828125
2025-11-04,74,198.69000244140625
2025-11-05,75,195.2100067138672
2025-11-06,79,188.0800018310547
2025-11-07,68,188.14999389648438
2025-11-10,23,199.0500030517578
2025-11-11,26,193.16000366210938
2025-11-12,28,193.8000030517578
2025-11-13,26,186.86000061035156
2025-11-14,27,190.1699981689453
